"","Distance","Pvalue"
"DGXXX","NA","NA"
"PAXXX","0","1"
"PCXXX","0.666666666666667","1"
"PGXXX","1","1"
"TGXXX","NA","NA"
"Glyc","0.777777777777778","0.422807869961255"
