"","Distance","Pvalue"
"DGXXX","NA","NA"
"LPCXX","0.666666666666667","1"
"LPEXX","0","1"
"PAXXX","1","1"
"PCXXX","0.583333333333333","1"
"PEXXX","0","1"
"PGXXX","1","1"
"SMXXX","1","1"
"TGXXX","NA","NA"
"Glyc","0.565217391304348","0.205865918912157"
