"","Distance","Pvalue"
"DGXXX","NA","NA"
"LPSXX","0","1"
"PCXXX","1","1"
"PGXXX","1","1"
"TGXXX","NA","NA"
"Glyc","0.666666666666667","0.471726253856406"
