"","Distance","Pvalue"
"DGXXX","NA","NA"
"LPCXX","0.666666666666667","1"
"LPEXX","0","1"
"LPIXX","1","1"
"PAXXX","1","1"
"PC-OX","0","1"
"PCXXX","0.615384615384615","1"
"PE-OX","0","1"
"PEXXX","0.5","1"
"PGXXX","1","1"
"SMXXX","0.666666666666667","1"
"TGXXX","NA","NA"
"Glyc","0.526315789473684","0.255913052085998"
