"","U_lipids_lean","U_lipids_obese"
"CerXX",5,4
"CEXXX",1,1
"DGXXX",0,1
"LPEXX",1,1
"PAXXX",1,1
"PC-OX",12,12
"PCXXX",2,4
"PE-OX",2,2
"PEXXX",6,5
"PG-OX",3,3
"PGXXX",7,7
"PI-OX",1,1
"PSXXX",8,9
"SMXXX",6,6
"TGoxX",1,1
"TGXXX",10,10
"Glyc",10,11
