"","Distance","Pvalue"
"DGXXX","NA","NA"
"PAXXX","0","1"
"PCXXX","0.666666666666667","1"
"PGXXX","1","1"
"SMXXX","0","1"
"TGXXX","NA","NA"
"Glyc","0.636363636363636","0.460260067807371"
