"","B_lipids_lean","B_lipids_obese"
"DGXXX",8,6
"LPCXX",3,2
"LPEXX",0,1
"LPIXX",1,1
"PAXXX",1,1
"PC-OX",0,2
"PCXXX",13,8
"PE-OX",0,1
"PEXXX",1,2
"PGXXX",1,1
"SMXXX",2,3
"TGXXX",3,10
"Glyc",11,16
