"","x"
"1","DGXXX(24:01)_[M+H-H2O]1+"
"2","DGXXX(32:01)_[M+H-H2O]1+"
"3","DGXXX(34:01)_[M+H-H2O]1+"
"4","PCXXX(34:01)_[M+H]1+"
"5","PCXXX(36:04)_[M+H]1+"
"6","PCXXX(38:04)_[M+H]1+"
"7","PGXXX(34:00)_[M+NH4]1+"
"8","TGXXX(38:01)_[M+NH4]1+"
