"","Distance","Pvalue"
"CerXX","0.8","1"
"CEXXX","1","1"
"DGXXX","NA","NA"
"LPEXX","1","1"
"PAXXX","1","1"
"PC-OX","0.846153846153846","0.417510633891018"
"PCXXX","0.5","1"
"PE-OX","1","1"
"PEXXX","0.833333333333333","1"
"PG-OX","1","1"
"PGXXX","0.75","0.426791590193303"
"PI-OX","1","1"
"PSXXX","0.888888888888889","1"
"SMXXX","0.5","0.362705226056277"
"TGoxX","1","1"
"TGXXX","NA","NA"
"Glyc","0.909090909090909","1"
