"","B_lipids_lean","B_lipids_obese"
"DGXXX",9,6
"LPCXX",3,2
"LPEXX",0,1
"PAXXX",1,1
"PCXXX",12,7
"PEXXX",1,0
"PGXXX",1,1
"SMXXX",2,2
"TGXXX",10,9
"Glyc",19,15
