"","B_lipids_lean","B_lipids_obese"
"DGXXX",9,7
"LPCXX",2,0
"PAXXX",1,1
"PCXXX",6,5
"PEXXX",2,1
"PGXXX",1,1
"SMXXX",3,1
"TGXXX",4,10
"Glyc",13,17
