"","Distance","Pvalue"
"DGXXX","NA","NA"
"LPCXX","0","1"
"PAXXX","1","1"
"PCXXX","0.833333333333333","1"
"PEXXX","0","1"
"PGXXX","1","1"
"SMXXX","0.5","1"
"TGXXX","NA","NA"
"Glyc","0.652173913043478","0.460799461558473"
