"","Distance","Pvalue"
"CEXXX","0","1"
"DGXXX","NA","NA"
"LPSXX","0","1"
"PC-OX","0","1"
"PGXXX","0","1"
"SMXXX","0.25","0.3662109375"
"Glyc","0.333333333333333","1"
