"","B_lipids_lean","B_lipids_obese"
"DGXXX",10,9
"LPCXX",2,0
"PAXXX",1,1
"PCXXX",6,5
"PEXXX",1,1
"PGXXX",1,1
"SMXXX",2,1
"TGXXX",13,20
"Glyc",23,29
