"","B_lipids_lean","B_lipids_obese"
"DGXXX",7,4
"LPCXX",3,3
"LPEXX",1,1
"PAXXX",1,1
"PC-OX",1,0
"PCXXX",13,11
"PE-OX",1,0
"PEXXX",1,1
"PGXXX",1,1
"PSXXX",1,0
"SMXXX",4,3
"TGXXX",4,8
"Glyc",11,12
