"","lean","obese"
"PCXXX(28:2)_[M+OAC]1- ","PCXXX(28:2)_[M+OAC]1- ","0"
"PCXXX(43:2)_[M+OAC]1-","0","PCXXX(43:2)_[M+OAC]1-"
"PG-OX(39:0)_[M-H]1-","PG-OX(39:0)_[M-H]1-","PG-OX(39:0)_[M-H]1-"
"PI-OX(40:5)_[M-H]1-","0","PI-OX(40:5)_[M-H]1-"
