"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",8,9
"LPEXX",7,7
"PAXXX",4,2
"PC-OX",2,2
"PCXXX",39,31
"PE-OX",2,2
"PEXXX",10,8
"PGXXX",1,2
"PIXXX",5,4
"SMXXX",2,3
"Glyc",0,0
