"","lean","obese"
"PCXXX(44:7)_[M+Cl]1-","PCXXX(44:7)_[M+Cl]1-","0"
"PCXXX(50:0)_[M+OAC]1-","PCXXX(50:0)_[M+OAC]1-","PCXXX(50:0)_[M+OAC]1-"
"PE-OX(34:3)_[M-H]1-","PE-OX(34:3)_[M-H]1-","0"
"PE-OX(36:4)_[M-H]1-","PE-OX(36:4)_[M-H]1-","0"
"PE-OX(38:2)_[M-H]1-","PE-OX(38:2)_[M-H]1-","PE-OX(38:2)_[M-H]1-"
"PE-OX(40:3)_[M-H]1-","PE-OX(40:3)_[M-H]1-","PE-OX(40:3)_[M-H]1-"
"PEXXX(29:0)_[M-H]1-","PEXXX(29:0)_[M-H]1-","0"
"PEXXX(32:1)_[M-H]1-","PEXXX(32:1)_[M-H]1-","PEXXX(32:1)_[M-H]1-"
"PEXXX(39:2)_[M-H]1-","PEXXX(39:2)_[M-H]1-","PEXXX(39:2)_[M-H]1-"
"PEXXX(40:2)_[M-H]1-","PEXXX(40:2)_[M-H]1-","PEXXX(40:2)_[M-H]1-"
"PEXXX(43:2)_[M-H]1-","PEXXX(43:2)_[M-H]1-","0"
"PEXXX(44:4)_[M-H]1-","PEXXX(44:4)_[M-H]1-","PEXXX(44:4)_[M-H]1-"
"PG-OX(42:6)_[M-H]1-","PG-OX(42:6)_[M-H]1-","PG-OX(42:6)_[M-H]1-"
"PGXXX(39:2)_[M-H]1-","PGXXX(39:2)_[M-H]1-","PGXXX(39:2)_[M-H]1-"
"PGXXX(43:4)_[M-H]1-","PGXXX(43:4)_[M-H]1-","PGXXX(43:4)_[M-H]1-"
"PGXXX(48:7)_[M-H]1-","PGXXX(48:7)_[M-H]1-","0"
"PGXXX(50:9)_[M-H]1-","PGXXX(50:9)_[M-H]1-","PGXXX(50:9)_[M-H]1-"
"PI-OX(38:6)_[M-H]1-","0","PI-OX(38:6)_[M-H]1-"
"PI-OX(40:2)_[M-H]1-","PI-OX(40:2)_[M-H]1-","PI-OX(40:2)_[M-H]1-"
"PI-OX(41:0)_[M-H]1-","PI-OX(41:0)_[M-H]1-","PI-OX(41:0)_[M-H]1-"
"PI-OX(42:2)_[M-H]1-","PI-OX(42:2)_[M-H]1-","PI-OX(42:2)_[M-H]1-"
"PIXXX(35:2)_[M-H]1-","0","PIXXX(35:2)_[M-H]1-"
"PIXXX(36:1)_[M-H]1-","0","PIXXX(36:1)_[M-H]1-"
"PIXXX(37:6)_[M-H]1-","PIXXX(37:6)_[M-H]1-","PIXXX(37:6)_[M-H]1-"
"PIXXX(40:0)_[M-H]1-","PIXXX(40:0)_[M-H]1-","PIXXX(40:0)_[M-H]1-"
"PIXXX(43:4)_[M-H]1-","PIXXX(43:4)_[M-H]1-","PIXXX(43:4)_[M-H]1-"
"SMXXX(38:1)_[M+OAC]1-","0","SMXXX(38:1)_[M+OAC]1-"
"SMXXX(39:2)_[M+OAC]1-","SMXXX(39:2)_[M+OAC]1-","SMXXX(39:2)_[M+OAC]1-"
"SMXXX(40:2)_[M+OAC]1-","SMXXX(40:2)_[M+OAC]1-","SMXXX(40:2)_[M+OAC]1-"
"SMXXX(41:0)_[M+OAC]1-","0","SMXXX(41:0)_[M+OAC]1-"
"SMXXX(42:3)_[M+OAC]1-","SMXXX(42:3)_[M+OAC]1-","SMXXX(42:3)_[M+OAC]1-"
