"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",8,9
"LPEXX",7,7
"PAXXX",3,1
"PC-OX",1,1
"PCXXX",4,2
"PEXXX",5,4
"PGXXX",0,1
"Glyc",0,0
