"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.666666666666667","0.471726253856406"
"LPEXX","1","1"
"PAXXX","0.25","0.3662109375"
"PC-OX","1","1"
"PCXXX","0.2","0.2171904"
"PEXXX","0.666666666666667","0.42846424494323"
"PGXXX","0","1"
"PIXXX","0","1"
"SMXXX","0","0.25"
"Glyc","NA","NA"
