"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.666666666666667","0.471726253856406"
"LPEXX","1","1"
"PAXXX","0.5","1"
"PC-OX","1","1"
"PCXXX","0.333333333333333","1"
"PEXXX","1","1"
"Glyc","NA","NA"
