"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",10,10
"LPEXX",7,7
"PAXXX",3,2
"PC-OX",1,1
"PCXXX",4,2
"PEXXX",4,4
"PGXXX",1,0
"PIXXX",1,1
"SMXXX",1,0
"Glyc",0,0
