"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.888888888888889","1"
"LPEXX","1","1"
"PAXXX","0.5","1"
"PC-OX","1","1"
"PCXXX","0.590909090909091","0.12760432302404"
"PE-OX","1","1"
"PEXXX","0.8","1"
"PGXXX","0.5","1"
"PIXXX","0.5","0.437478595930687"
"SMXXX","0.666666666666667","1"
"Glyc","NA","NA"
