"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.818181818181818","0.420801846413249"
"LPEXX","1","1"
"PAXXX","0.666666666666667","1"
"PC-OX","1","1"
"PCXXX","0.2","0.2171904"
"PEXXX","1","1"
"PGXXX","0","1"
"PIXXX","1","1"
"SMXXX","0","1"
"Glyc","NA","NA"
