"","Distance","Pvalue"
"CerXX","1","1"
"PC-OX","0.8","1"
"PCXXX","0.647058823529412","0.218479426890036"
"PE-OX","0.5","1"
"PEXXX","0.666666666666667","1"
"PG-OX","1","1"
"PGXXX","0.75","1"
"PI-OX","0.75","1"
"PIXXX","0.6","1"
"SMXXX","0.6","1"
"Glyc","NA","NA"
