"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",11,10
"LPEXX",7,7
"PAXXX",3,2
"PC-OX",1,1
"PCXXX",8,4
"PEXXX",4,5
"PGXXX",1,0
"SMXXX",1,0
"Glyc",0,0
