"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.727272727272727","1"
"LPEXX","1","1"
"PAXXX","0.666666666666667","1"
"PC-OX","1","1"
"PCXXX","0.333333333333333","0.251269913853712"
"PE-OX","0","1"
"PEXXX","0.8","1"
"PGXXX","0","1"
"PIXXX","1","1"
"SMXXX","0","1"
"Glyc","NA","NA"
