"","Distance","Pvalue"
"LPC-O","1","1"
"LPCXX","0.888888888888889","1"
"LPEXX","1","1"
"PAXXX","0.666666666666667","1"
"PC-OX","1","1"
"PCXXX","0.142857142857143","0.121396552927846"
"PEXXX","0.8","1"
"PGXXX","0","1"
"PIXXX","0","1"
"SMXXX","0","1"
"Glyc","NA","NA"
