"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",10,11
"LPEXX",7,7
"PAXXX",3,2
"PC-OX",2,2
"PCXXX",22,21
"PE-OX",1,1
"PEXXX",9,7
"PGXXX",1,1
"PIXXX",2,1
"SMXXX",4,3
"Glyc",0,0
