"","B_lipids_lean","B_lipids_obese"
"LPC-O",1,1
"LPCXX",10,8
"LPEXX",7,7
"PAXXX",3,3
"PC-OX",2,2
"PCXXX",22,28
"PE-OX",1,2
"PEXXX",10,11
"PGXXX",1,1
"PIXXX",3,3
"SMXXX",4,4
"Glyc",0,0
