,,Data ID,022_P2_A11_heart_18C36_PWD_lean_0.mzXML,098_P2_C01_heart_18C37_PWD_lean_0.mzXML,020_P2_A10_heart_18C41_PWD_lean_0.mzXML,106_P2_C05_heart_18C42_PWD_lean_0.mzXML,116_P2_C10_heart_NPC1_PWD_lean_0.mzXML,062_P2_B07_heart_NPC2_PWD_lean_0.mzXML,120_P2_C12_heart_NPC3_PWD_lean_0.mzXML,056_P2_B04_heart_RC59_PWD_lean_0.mzXML,264_P2_F12_heart_18F50_PWD_obese_0.mzXML,244_P2_F02_heart_18F52_PWD_obese_0.mzXML,292_P2_G02_heart_18F54_PWD_obese_0.mzXML,168_P2_D12_heart_18F57_PWD_obese_0.mzXML,154_P2_D05_heart_NPF1_PWD_obese_0.mzXML,200_P2_E04_heart_NPF2_PWD_obese_0.mzXML,210_P2_E09_heart_NPF4_PWD_obese_0.mzXML,150_P2_D03_heart_NPF5_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
,,Address,A11,C01,A10,C05,C10,B07,C12,B04,F12,F02,G02,D12,D05,E04,E09,D03
Lipid variable,Category,m/z,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
LPEXX(18:1)_[M-H]1-,LPE,478.2939,7.072,5.633,4.713,22.526,4.075,0.93,24.973,3.979,3.35,0.983,0.857,16.223,1.909,5.849,1.06,3.744
LPEXX(20:0)_[M-H]1-,LPE,508.3409,18.836,2.693,12.34,8.593,3.169,12.022,12.544,13.375,5.703,1.687,2.793,8.642,6.202,5.235,0.829,3.333
LPEXX(20:1)_[M-H]1-,LPE,506.3252,7.64,2.456,5.985,22.251,5.29,1.709,7.418,5.347,6.809,0,2.314,10.614,3.069,6.069,0.162,3.284
LPEXX(22:6)_[M-H]1-,LPE,524.2783,43.36,76.469,14.966,26.577,15.866,12.739,37.709,45.248,21.082,89.215,72.847,35.072,23.467,34.87,23.401,39.807
PAXXX(34:0)_[M-H]1-,PA,675.496483,15.603,11.143,4.459,21.416,1.659,2.72,40.071,3.29,8.445,4.556,2.218,3.747,5.08,13.041,81.581,4.846
PAXXX(36:0)_[M-H]1-,PA,703.527783,42.96,38.534,4.232,2.283,3.911,18.24,100.084,3.211,12.416,17.961,5.495,17.297,38.695,20.542,16.56,43.691
PAXXX(36:1)_[M-H]1-,PA,701.512133,13.953,1.5,1.334,3.856,1.203,0,7.943,1.416,5.144,0.527,0,0,1.614,0,0,0
PAXXX(40:7)_[M-H]1-,PA,745.480833,0.179,0,0,0.014,4.469,1.51,0,0.88,1.556,0,0,5.398,0,0.741,0,0
PCXXX(28:2)_[M+OAC]1- ,PC,732.4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCXXX(31:1)_[M+OAC]1- ,PC,776.5447,0,0,0.732,5.301,0,0,0,0.959,0,1.903,0,0,1.271,0,0,0
PCXXX(32:3)_[M+OAC]1- ,PC,786.5291,12.088,9.265,3.454,9.281,5.559,40.359,5.338,28.67,0,4.001,0,0,5.327,9.347,0.47,4.212
PCXXX(33:1)_[M+OAC]1- ,PC,804.576,0,1.387,0,50.081,1.321,1.625,5.961,7.831,21.536,1.367,0,0,1.204,3.556,13.878,14.787
