LPCXX(15:0)_[M+OAC]1-,LPC,540.3307,16.750,16.829,17.347,10.956,3.772,111.330,22.209,26.848,,1.395,51.305,4.827,41.549,11.729,6.960,30.503,13.988,16.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:0)_[M+OAC]1-,LPC,568.362,2.603,6.810,15.631,2.371,0.000,97.093,11.646,14.978,,2.917,35.405,2.193,17.737,2.849,7.626,16.657,2.008,8.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:1)_[M+OAC]1-,LPC,566.3463,11.808,18.067,11.477,6.950,2.675,21.515,7.975,23.136,,3.213,3.039,8.066,36.324,7.357,9.033,4.459,0.496,8.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:0)_[M+Cl]1-,LPC,558.3332,14.883,36.647,37.106,10.182,1.874,16.741,26.554,24.433,,4.276,16.749,13.015,69.510,14.431,18.511,2.616,4.220,22.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:1)_[M+Cl]1-,LPC,556.3175,6.008,16.959,17.710,6.296,1.240,2.618,18.688,21.857,,3.455,5.456,4.752,60.179,12.223,7.212,0.870,1.968,9.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:2)_[M+Cl]1-,LPC,554.3019,0.000,2.521,3.438,1.743,1.328,24.190,0.000,5.609,,1.252,0.870,1.704,14.108,2.925,1.474,2.033,0.000,1.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:1)_[M+Cl]1-,LPC,584.3488,17.165,18.972,16.340,3.080,2.768,2.855,16.644,30.106,,1.269,6.480,3.871,28.610,6.756,3.840,0.680,1.248,7.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:4)_[M+Cl]1-,LPC,578.3019,1.699,6.505,1.916,0.000,0.000,1.891,2.213,4.719,,0.773,0.000,0.000,12.787,2.047,2.253,0.149,0.000,0.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:1)_[M+Cl]1-,LPC,612.3801,4.911,1.716,4.441,0.000,2.615,0.663,0.000,2.300,,0.900,3.711,0.000,7.589,1.129,2.590,0.885,0.572,6.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:2)_[M+Cl]1-,LPC,610.3645,2.293,5.165,6.361,2.364,0.000,1.018,1.457,0.000,,0.910,0.710,1.017,6.238,2.860,1.822,0.156,0.199,1.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
