,,Data ID,307_P1_G10_vastus_18C36_PWD_lean_0.mzXML,339_P1_H02_vastus_18C37_PWD_lean_0.mzXML,293_P1_G03_vastus_18C40_PWD_lean_0.mzXML,253_P1_F07_vastus_18C41_PWD_lean_0.mzXML,255_P1_F08_vastus_18C42_PWD_lean_0.mzXML,059_P1_B06_vastus_NPC1_PWD_lean_0.mzXML,205_P1_E07_vastus_NPC2_PWD_lean_0.mzXML,289_P1_G01_vastus_NPC3_PWD_lean_0.mzXML,049_P1_B01_vastus_RC59_PWD_lean_0.mzXML,303_P1_G08_vastus_18F50_PWD_obese_0.mzXML,201_P1_E05_vastus_18F52_PWD_obese_0.mzXML,117_P1_C11_vastus_18F54_PWD_obese_0.mzXML,211_P1_E10_vastus_18F55_PWD_obese_0.mzXML,149_P1_D03_vastus_18F57_PWD_obese_0.mzXML,151_P1_D04_vastus_NPF1_PWD_obese_0.mzXML,215_P1_E12_vastus_NPF2_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1
,,Address,G10,H02,G03,F07,F08,B06,E07,G01,B01,G08,E05,C11,E10,D03,D04,E12
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
DGXXX(34:03)_[M+H-H2O]1+,TG,573.4877,0,8.311,0.305,0.099,4.521,9.278,0,10.345,0.274,5.375,0,7.059,36.716,4.85,0.338,16.168
DGXXX(35:01)_[M+H-H2O]1+,TG,591.5347,0,0.129,0,0,0.199,0.107,0.147,0.287,0,0,0,0.109,0.301,0,0,0.513
DGXXX(35:02)_[M+H-H2O]1+,TG,589.519,0,0.133,0,0,0.103,0.053,0,0,0,0,0,0,0.501,0,0,0.736
DGXXX(35:03)_[M+H-H2O]1+,TG,587.5034,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,0.22,0
DGXXX(35:05)_[M+NH4]1+,TG,618.5092,0,3.144,0,0.12,1.9,0,0,0.55,0,0,0,0,0.084,0,0,0
DGXXX(36:03)_[M+H-H2O]1+,TG,601.519,0.761,29.972,11.329,4.434,20.221,25.971,3.764,36.304,11.054,20.07,0.504,15.013,108.257,16.219,9.675,42.983
DGXXX(36:04)_[M+H-H2O]1+,TG,599.5034,0.182,12.371,2.629,0.565,2.448,7.237,1.393,10.342,1.892,2.884,0.303,2.882,47.88,1.715,0,7.502
DGXXX(37:03)_[M+H-H2O]1+,TG,615.5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGXXX(38:01)_[M+H-H2O]1+,TG,633.5816,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0
DGXXX(38:03)_[M+NH4]1+,TG,664.5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGXXX(38:04)_[M+H-H2O]1+,TG,627.5347,10.435,10.116,19.379,11.88,2.976,18.055,22.286,7.771,17.029,12.462,0.695,14.979,0.089,7.554,0.34,5.184
DGXXX(40:06)_[M+H-H2O]1+,TG,651.5347,4.063,4.119,7.582,6.35,0.901,11.502,13.066,4.668,13.013,6.968,0.219,12.638,0,4.492,0,3.824
DGXXX(40:10)_[M+NH4]1+,TG,678.5092,3.724,0,1.75,0.41,0.079,0.043,0.494,0,0.896,2.171,3.477,2.23,0,1.2,4.948,0.698
DGXXX(41:02)_[M+NH4]1+,TG,708.6501,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0.068,0,0
DGXXX(41:06)_[M+NH4]1+,TG,700.5875,0,0,0,0,0,0.042,0,0.23,0,0,0,0,0.666,0,0,0
DGXXX(42:06)_[M+NH4]1+,TG,714.6031,0,0,0,0.067,0,0,0.005,0.001,0,0,0,0,0,0.052,0,0
DGXXX(42:07)_[M+NH4]1+,TG,712.5875,0,0,0,0.068,0,0.045,0,0,0.184,0,0,0,0,0,0,0
DGXXX(42:08)_[M+H-H2O]1+,TG,675.5347,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0
DGXXX(42:10)_[M+NH4]1+,TG,706.5405,9.008,0.192,5.926,2.764,0.081,8.265,7.113,0,4.484,7.2,9.699,9.587,0,4.33,13.844,2.52
DGXXX(44:04)_[M+H-H2O]1+,TG,711.6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGXXX(44:06)_[M+H-H2O]1+,TG,707.5973,0,0,0,0,0,0,0,0.094,0.109,0.105,0,0,0,0,0,0
DGXXX(44:07)_[M+H-H2O]1+,TG,705.5816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018
DGXXX(44:09)_[M+H-H2O]1+,TG,701.5503,0,0,0,0,0,0.032,0,0,0,0,0.581,0,0,0,0,0
DGXXX(46:00),TG,782.7601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPCXX(16:00)_[M+H]1+,LPC,496.3398,17.945,24.96,21.417,12.943,11.237,15.992,23.567,13.962,20.793,6.659,1.487,14.354,0.708,9.729,8.929,5.834
LPCXX(18:00)_[M+H]1+,LPC,524.3716,1.304,12.719,5.996,3.482,2.872,4.551,4.484,1.371,7.322,1.941,0.281,8.343,0.228,4.771,0,1.655
