,,Data ID,307_P1_G10_vastus_18C36_PWD_lean_0.mzXML,339_P1_H02_vastus_18C37_PWD_lean_0.mzXML,293_P1_G03_vastus_18C40_PWD_lean_0.mzXML,253_P1_F07_vastus_18C41_PWD_lean_0.mzXML,255_P1_F08_vastus_18C42_PWD_lean_0.mzXML,059_P1_B06_vastus_NPC1_PWD_lean_0.mzXML,205_P1_E07_vastus_NPC2_PWD_lean_0.mzXML,289_P1_G01_vastus_NPC3_PWD_lean_0.mzXML,049_P1_B01_vastus_RC59_PWD_lean_0.mzXML,303_P1_G08_vastus_18F50_PWD_obese_0.mzXML,201_P1_E05_vastus_18F52_PWD_obese_0.mzXML,117_P1_C11_vastus_18F54_PWD_obese_0.mzXML,211_P1_E10_vastus_18F55_PWD_obese_0.mzXML,149_P1_D03_vastus_18F57_PWD_obese_0.mzXML,151_P1_D04_vastus_NPF1_PWD_obese_0.mzXML,215_P1_E12_vastus_NPF2_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1
,,Address,G10,H02,G03,F07,F08,B06,E07,G01,B01,G08,E05,C11,E10,D03,D04,E12
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
PE-OX(36:04)_[M+H]1+,PE-O,726.5432,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0.07,0,0
PE-OX(42:06)_[M+H]1+,PE-O,806.6058,0.322,0,0.293,0.641,0,0.415,0.533,0,0,0.073,0,0.229,0,0.151,0.171,0.031
PE-OX(40:08)_[M+H]1+,PE-O,774.5432,0,0,0,5.118,0,0.409,0.145,0,0,0.06,0,0,0,0.099,0,0
PGXXX(32:00)_[M+Na]1+,PG,745.499,0.148,0,0,0.127,0.09,0,0.141,0,0,0,0,0,0,0.776,0,0
PGXXX(33:02)_[M+H]1+,PG,733.5014,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0.111,0
PGXXX(33:03)_[M+Na]1+,PG,753.4677,0.149,2.308,0,10.337,2.757,0.044,0,0,0,0,0,0,0.081,0.221,0,0
PGXXX(34:00)_[M+NH4]1+,PG,768.5749,1.446,0.107,0.256,1.834,0.834,4.044,4.605,1.143,0.224,1.414,8.681,2.238,2.573,0.971,11.985,0.229
PGXXX(34:01)_[M+Na]1+,PG,771.5147,0,0,0,10.758,0,0.013,0,0,0,0,0,0,0.074,0,0,0
PGXXX(34:03)_[M+H]1+,PG,745.5014,0.148,0,0,0.127,0.09,0,0.141,0,0,0,0,0,0,0.776,0,0
PGXXX(35:06)_[M+H]1+,PG,753.4701,0.149,2.308,0,10.337,2.757,0.044,0,0,0,0,0,0,0.081,0.221,0.067,0
PGXXX(36:00)_[M+H]1+,PG,779.5797,0,0,0,0.086,0,0.029,0,0,0,0,0,0,0,0,0,0
PGXXX(36:01)_[M+Na]1+,PG,799.546,0,0,0,0.413,0,0,0,0,0,0,0,0,0,0.063,0,0
PGXXX(36:02)_[M+H]1+,PG,775.5484,0,0,0,0.011,0,0,0.128,0.105,0,0,0,0,0,0,0,0.034
PGXXX(36:03)_[M+H]1+,PG,773.5327,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(36:03)_[M+Na]1+,PG,795.5147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(36:04)_[M+H]1+,PG,771.5171,0,0,0,10.758,0,0,0,0,0,0,0,0,0.001,0,0,0
PGXXX(37:01)_[M+Na]1+,PG,813.5616,0,0,0,0.296,0,0,0.67,0,0,0,0,0,0,0.079,0,0
PGXXX(37:06)_[M+H]1+,PG,781.5014,0,0,0,4.977,0.087,0,0.192,0,0,0,0,0,0,0,0,0
PGXXX(37:06)_[M+Na]1+,PG,803.4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(38:00)_[M+H]1+,PG,807.611,0,0,0,0,0,0.044,0.139,0,0,0,0,0,0,0.157,0,0
PGXXX(38:05)_[M+H]1+,PG,797.5327,0,0,0,0.539,0.15,0.071,3.482,0.059,0,0.284,0,0,0.667,0.675,0,0
PGXXX(38:06)_[M+H]1+,PG,795.5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(39:00)_[M+H]1+,PG,821.6266,0.128,0,0,25.955,0.045,0,0,0,0.066,0.061,0,0,0,0.001,0,0
PGXXX(39:00)_[M+Na]1+,PG,843.6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(39:01)_[M+Na]1+,PG,841.5929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(39:02)_[M+H]1+,PG,817.5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGXXX(39:04)_[M+H]1+,PG,813.564,0,0,0,0.296,0,0,0.67,0,0,0,0,0,0,0.079,0,0
PGXXX(39:07)_[M+Na]1+,PG,829.499,14.754,0.211,10.15,4.791,0.59,0,10.792,0,0,10.136,2.353,0.809,0,7.698,2.621,3.154
PGXXX(41:01)_[M+Na]1+,PG,869.6242,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0.11,0,0
PGXXX(42:05)_[M+H]1+,PG,853.5953,0,0,0,4.219,0,0,0.854,0,0,0,0,0,0,0,0,0.028
PGXXX(42:10)_[M+H]1+,PG,843.5171,0,0.087,0,0.156,0,0,0,0.12,0,0,0,0,0,0,0,0
PGXXX(43:04)_[M+H]1+,PG,869.6266,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0.002,0,0
PGXXX(44:12)_[M+Na]1+,PG,889.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG-OX(32:01)_[M+NH4]1+,PG-O,724.5487,0,0,0,0.007,0,0,0,0.003,0,0,0,0,0,0,0,0
PG-OX(34:01)_[M+NH4]1+,PG-O,752.58,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0
PG-OX(37:02)_[M+Na]1+,PG-O,797.5667,0,0,0,0.049,0,0,0.112,0,0,0,0,0,0,0,0,0
PG-OX(39:00)_[M+Na]1+,PG-O,829.6293,0.004,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0
PG-OX(40:00)_[M+NH4]1+,PG-O,838.6895,0,0,0,0,0,0.062,0,0,0.145,0,0,0,0,0,0,0
PG-OX(40:06)_[M+Na]1+,PG-O,831.551,0,0,0,0,0,0.121,0,0.089,0,0,0,0,0,0,0,0
PG-OX(42:06)_[M+Na]1+,PG-O,859.5823,0,0,0,3.322,0,0,0,0,0,0,0,0,0,0,0,0
PG-OX(39:02)_[M+Na]1+,PG-O,825.598,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0.004,0,0
PG-OX(42:03)_[M+Na]1+,PG-O,865.6293,0,0,0,20.044,0,0,0,0,0,0,0,0,0,0.132,0,0
PIXXX(26:00)_[M+NH4]1+,PI,744.4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(29:01)_[M+Na]1+,PI,789.4525,0,0,0,0.474,0,0,0.142,0,0,0,0,0,0,0,0,0
PIXXX(30:01)_[M+H]1+,PI,781.4862,0,0,0,4.977,0.363,0,0.091,0,0,0,0,0,0,0,0,0
PIXXX(30:02)_[M+Na]1+,PI,801.4525,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0
PIXXX(30:03)_[M+NH4]1+,PI,794.4814,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0
PIXXX(34:03)_[M+Na]1+,PI,855.4994,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0
PIXXX(36:04)_[M+Na]1+,PI,881.5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(37:04)_[M+Na]1+,PI,895.5307,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(37:06)_[M+Na]1+,PI,891.4994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(37:07)_[M+Na]1+,PI,889.4838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(38:07)_[M+H]1+,PI,881.5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(39:08)_[M+Na]1+,PI,915.4994,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
PIXXX(39:08)_[M+NH4]1+,PI,910.544,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
PIXXX(40:07)_[M+H]1+,PI,909.5488,0,0,0,0,0,0.101,0,0.107,0,0,0,0,0,0,0,0
PIXXX(41:00)_[M+H]1+,PI,937.674,0,0,0,2.067,0,0,0.103,0,0,0,0,0,0,0,0,0
PIXXX(41:01)_[M+Na]1+,PI,957.6403,0,0,0,4.384,0,0.035,0,0,0,0,0,0,0,0.153,0,0
PIXXX(42:04)_[M+Na]1+,PI,965.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(42:06)_[M+H]1+,PI,939.5957,0,0.188,0.092,0.086,0,0,0.121,0.074,0,0,0,0,0,0,0,0
PIXXX(42:09)_[M+NH4]1+,PI,950.5753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIXXX(43:04)_[M+H]1+,PI,957.6427,0,0,0,4.384,0,0.037,0,0,0,0,0,0,0,0.168,0,0
PIXXX(44:07)_[M+H]1+,PI,965.6114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(31:01)_[M+Na]1+,PI-O,803.5045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(32:01)_[M+H]1+,PI-O,795.5382,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(33:01)_[M+NH4]1+,PI-O,826.5804,0.083,0,0,0.124,0,0,0,0,0,0,0,0,0,0.189,0,0
PI-OX(34:00)_[M+NH4]1+,PI-O,842.6117,0,0,0,0,0,0.042,0.088,0,0,0,0,0,0,0,0,0
PI-OX(34:01)_[M+H]1+,PI-O,823.5695,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(34:02)_[M+NH4]1+,PI-O,838.5804,0,0,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(34:03)_[M+Na]1+,PI-O,841.5201,0,0,0,11.233,0,0,0.132,0,0,0,0,0,0.136,0,0,0
PI-OX(35:01)_[M+Na]1+,PI-O,859.5671,0,0,0,3.322,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(35:02)_[M+Na]1+,PI-O,857.5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0
PI-OX(36:00)_[M+NH4]1+,PI-O,870.643,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0
PI-OX(36:05)_[M+H]1+,PI-O,843.5382,0,0.085,0,0.173,0,0,0,0.125,0,0,0,0,0,0,0,0
PI-OX(36:05)_[M+NH4]1+,PI-O,860.5647,0,0,0,0.539,0,0,0,0,0,0,0,0,0,0.035,0,0
PI-OX(37:01)_[M+H]1+,PI-O,865.6164,0,0,0,20.044,0,0,0,0,0,0,0,0,0,0.132,0,0
PI-OX(38:00)_[M+NH4]1+,PI-O,898.6743,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0
PI-OX(38:01)_[M+NH4]1+,PI-O,896.6586,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0
PI-OX(38:02)_[M+H]1+,PI-O,877.6164,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0
PI-OX(38:02)_[M+NH4]1+,PI-O,894.643,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(38:04)_[M+H]1+,PI-O,873.5851,0,0,0,0.225,0,0,0,0,0.116,0,0,0,0,0,0,0
PI-OX(40:00)_[M+NH4]1+,PI-O,926.7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(40:02)_[M+Na]1+,PI-O,927.6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(40:02)_[M+NH4]1+,PI-O,922.6743,0,0,0.09,0.147,0,0,0,0,0,0,0,0,0,0.072,0,0
PI-OX(40:06)_[M+Na]1+,PI-O,919.5671,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(29:01)_[M+Na]1+,PI-O,775.4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(33:03)_[M+NH4]1+,PI-O,822.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(34:05)_[M+Na]1+,PI-O,837.4888,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(36:06)_[M+H]1+,PI-O,841.5225,0,0,0,11.233,0,0,0.132,0,0,0,0,0,0.136,0,0,0
PI-OX(36:06)_[M+NH4]1+,PI-O,858.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(41:01)_[M+H]1+,PI-O,921.679,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(42:03)_[M+NH4]1+,PI-O,948.6899,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0
PI-OX(42:05)_[M+H]1+,PI-O,927.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI-OX(42:05)_[M+NH4]1+,PI-O,944.6586,0,0,0,0.126,0,0,0.111,0,0,0,0,0,0,0,0,0
PSXXX(28:00)_[M+Na]1+,PS,702.4317,0,0,0,0.005,0.008,0,0,0,0.004,0,0,0.126,0,0,0,0
PSXXX(33:00)_[M+Na]1+,PS,772.5099,0,0,0,2.293,0,0,0.045,0.054,0,0,0,0,0,0,0,0
PSXXX(33:03)_[M+H]1+,PS,744.481,0,0,0,0.349,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(34:06)_[M+Na]1+,PS,774.4317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(35:03)_[M+H]1+,PS,772.5123,0,0,0,2.293,0,0,0.045,0,0,0,0,0,0,0,0,0
PSXXX(35:04)_[M+H]1+,PS,770.4967,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0
PSXXX(36:02)_[M+H]1+,PS,788.5436,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0.114,0,0
PSXXX(37:04)_[M+H]1+,PS,798.528,0.143,0,0,0.111,0,0,0.107,0,0,0,0.14,0,0.066,0,0,0
PSXXX(38:01)_[M+H]1+,PS,818.5906,0,0.21,0,5.906,0.099,0,0,0.004,0,0,0,0,0.044,0.109,0,0
PSXXX(38:03)_[M+Na]1+,PS,836.5412,0,0,0.099,0,0,0.923,0.153,0,0.372,0,0,0.176,0,0,0,0.064
PSXXX(39:08)_[M+Na]1+,PS,840.4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(40:03)_[M+H]1+,PS,842.5906,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0.404,0,0
PSXXX(40:06)_[M+Na]1+,PS,858.5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0
PSXXX(41:02)_[M+H]1+,PS,858.6219,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0
PSXXX(41:02)_[M+Na]1+,PS,880.6038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(42:09)_[M+H]1+,PS,858.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(42:09)_[M+Na]1+,PS,880.5099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSXXX(44:08)_[M+Na]1+,PS,910.5569,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0
PS-OX(38:03)_[M+H]1+,PS-O,800.58,0,0.109,0,0,0.106,0.055,0,0,0.15,0,0,0,0.238,0.685,0,0
PS-OX(39:01)_[M+H]1+,PS-O,818.6269,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0
PS-OX(40:04)_[M+H]1+,PS-O,826.5956,0.132,0,0,0,0,0,0,0.143,0,0,0,0,0,0.227,0,0
PS-OX(40:04)_[M+Na]1+,PS-O,848.5776,0,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0
PS-OX(40:06)_[M+H]1+,PS-O,822.5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-OX(41:00)_[M+Na]1+,PS-O,870.6558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0
PS-OX(42:04)_[M+H]1+,PS-O,854.6269,0.146,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0
PS-OX(36:06)_[M+Na]1+,PS-O,788.4837,0,0,0,8.874,0,0.061,1.204,0,0,0,0,0,0,0.012,0,0
SMXXX(32:01)_[M+H]1+,SM,675.5436,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0
SMXXX(32:02)_[M+H]1+,SM,673.5279,0.927,0,1.563,9.708,0,0.078,3.802,0.08,0,1.289,0,0.102,0.319,3.086,0.176,0.362
SMXXX(34:01)_[M+H]1+ / DGXXX(44:08)_[M+H-H2O]1+,SM,703.5749,0.374,6.92,1.67,0.385,3.18,2.444,0.33,3.334,0.543,0.254,0,2.596,0.193,0.664,0,0.294
SMXXX(34:02)_[M+H]1+,SM,701.5592,0,0,0,0,0,0,0,0.106,0,0,0.581,0,0,0,0,0
SMXXX(36:01)_[M+H]1+,SM,731.6062,2.434,10.196,8.642,5.049,0.95,10.086,8.543,4.243,5.652,1.554,0,6.373,0.057,3.585,0,0.741
SMXXX(36:02)_[M+H]1+,SM,729.5905,0,0,0,0,0,0.034,0,0,0,0,0,0,0.512,0,0,0
SMXXX(36:04)_[M+H]1+,SM,725.5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMXXX(38:01)_[M+H]1+,SM,759.6375,0,0.095,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0
SMXXX(38:02)_[M+H]1+,SM,757.6218,0,0,0,0,0,0,0,0.628,0,0,0,0,1.392,0.281,0,0
SMXXX(39:01)_[M+H]1+,SM,773.6531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMXXX(40:01)_[M+H]1+,SM,787.6688,0,0,0,0,0,0,0,0.213,0,0,0,0,0,0,0,0.029
SMXXX(40:02)_[M+H]1+,SM,785.6531,0,0,0,0,0,0,2.713,0.244,0,0,0,0,0,0.146,0,0.033
SMXXX(40:07)_[M+H]1+,SM,775.575,0,0,0,0.578,0,0,0,0.099,0,0,0,0,0,0,0,0
SMXXX(41:01)_[M+H]1+,SM,799.6688,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0
SMXXX(41:04)_[M+H]1+,SM,795.6376,0,0.004,0,0,0.01,0,0.009,0.178,0,0,0,0,0.002,0,0,0.002
SMXXX(42:01)_[M+H]1+,SM,815.7001,0.094,0,0,0.093,0,0,0.106,0.062,0,0,0,0,0,0,0,0.021
SMXXX(42:02)_[M+H]1+,SM,813.6844,0,0.433,0.086,0,0,0.127,0.129,0.463,0,0.091,0.176,0.425,0,0,0,0.036
SMXXX(43:06)_[M+H]1+,SM,819.6376,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0
SMXXX(44:02)_[M+H]1+,SM,841.7157,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
SMXXX(45:00)_[M+H]1+,SM,859.7628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMXXX(47:01)_[M+H]1+,SM,885.7784,0,0,0,0.564,0.117,0,0.15,0.258,0,0,0,0,0.136,0.096,0,0
TGXXX(36:00)_[M+Na]1+,TG,661.5378,0,0.098,0.126,0.004,0.099,0,0,3.344,0,0.144,0,0,0.076,0.038,0.021,0.04
TGXXX(38:01)_[M+NH4]1+,TG,682.598,0.616,1.479,0.168,0.304,0.824,0.342,0.344,0.362,3.78,0.415,0.441,0.366,0.317,0.093,0.653,0.087
TGXXX(38:03),TG,678.5672,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0
TGXXX(40:01)_[M+NH4]1+,TG,710.6293,0,0.128,0.121,0,0,0.031,0,0,0,0,0,0,0,0,0,0
TGXXX(41:02)_[M+Na]1+,TG,727.5847,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(42:02)_[M+NH4]1+,TG,736.645,0,0,0,0,0,0,0,0,0.08,0,0,0,0.925,0,0,0.032
TGXXX(42:04)_[M+Na]1+,TG,737.5691,0,0.018,0,0,0,0,0.014,0,0,0,0,0.008,0,0,0.001,0.005
TGXXX(43:01)_[M+NH4]1+,TG,752.6763,0,0,0,0,0,0,0,0,0,0,0,0,32.848,0,0,0
TGXXX(43:02)_[M+Na]1+,TG,755.616,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(43:03)_[M+NH4]1+,TG,748.645,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0
TGXXX(43:04)_[M+NH4]1+,TG,746.6293,0,0,0,0,0,0,0.247,0,0,0,0,0,0,0,0,0
TGXXX(43:05),TG,744.6141,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0
TGXXX(44:01)_[M+Na]1+,TG,771.6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(45:03)_[M+Na]1+,TG,781.6317,0,0,0,0,0,0,0,0.124,0.157,0,0,0,0,0,0,0
TGXXX(46:02)_[M+Na]1+,TG,797.663,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0
TGXXX(46:03)_[M+Na]1+,TG,795.6473,0,0,0,0,0,0,0,0.357,0,0,0,0,0,0,0,0
TGXXX(46:04)_[M+NH4]1+,TG,788.6763,1.856,3.299,1.009,0.42,2.511,0.339,0.892,0,0,0,0.209,0.792,3.321,0.81,1.569,0.465
TGXXX(46:05)_[M+NH4]1+,TG,786.6606,0.173,0,0,0,0,0,0.223,0.729,0,0,0,0,0,0,0,0
TGXXX(47:03)_[M+Na]1+,TG,809.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(48:00)_[M+Na]1+,TG,829.7256,0.133,1.214,1.105,3.544,0.498,0.078,2.97,0,0,0,0.228,0.161,1.449,0.56,0.161,0.304
TGXXX(48:01)_[M+Na]1+,TG,827.7099,0,0,0,0.09,0.062,0,0,0,0,0,0,0,0,0.211,0,0.127
TGXXX(48:01)_[M+NH4]1+,TG,822.7545,3.326,11.359,11.645,9.451,11.418,18.385,0.917,8.044,5.235,8.551,0.415,16.953,11.688,15.373,3.743,23.651
TGXXX(48:02)_[M+Na]1,TG,825.6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043
TGXXX(48:02)_[M+NH4]1+,TG,820.7389,0.198,5.763,2.773,2.015,6.515,11.392,0.152,5.829,0.922,7.916,0.461,17.42,10.498,14.182,1.598,22.11
TGXXX(48:03)_[M+Na]1+,TG,823.6786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(48:06)_[M+NH4]1+,TG,812.6763,0,0,0,0.021,0,0,0,0,0,0,0,0,0.002,0,0,0
TGXXX(49:02)_[M+NH4]1+,TG,834.7545,0,0,0,0.069,0,0,0,0.26,0,0,0,0.137,0.076,0,0,1.012
TGXXX(49:04)_[M+NH4]1+,TG,830.7232,0,0.184,0.312,0.906,0.09,0,0.28,0,0,0.176,0,0,0.136,0.155,0,0
TGXXX(50:00)_[M+Na]1+,TG,857.7569,0.441,1.31,2.748,3.847,2.137,0.046,3.056,1.008,0,0.579,0.473,0.202,1.689,0.71,0.394,0.392
TGXXX(50:01)_[M+Na]1+,TG,855.7412,0,0,0.131,0.273,0,0.186,0.129,0,0,0,0,0,1.894,0,0,0.779
TGXXX(50:01)_[M+NH4]1+,TG,850.7858,11.685,28.883,26.818,21.981,20.859,33.682,3.559,25.449,21.067,19.463,5.877,20.66,28.717,24.7,14.959,41.062
TGXXX(50:02)_[M+Na]1+,TG,853.7256,0,0.1,0.128,0.283,0,0.101,0,0.133,0,0,0,0.254,2.983,0.224,0,1.646
TGXXX(50:02)_[M+NH4]1+,TG,848.7702,10.256,22.876,23.297,18.028,23.028,41.932,5.899,33.671,11.067,29.047,5.925,39.885,55.255,40.56,20.494,71.634
TGXXX(50:03)_[M+H]1+,TG,846.755,0,6.038,4.18,1.989,6.692,15.407,0.505,12.744,0.401,12.09,0.368,17.364,30.107,17.378,3.953,32.812
TGXXX(50:03)_[M+Na]1+,TG,851.7099,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0.096,0,0.265
TGXXX(50:03)_[M+NH4]1+,TG,846.7545,0,6.038,4.18,1.989,6.692,15.407,0.505,12.744,0.401,12.09,0.368,17.364,30.107,17.378,3.953,32.812
TGXXX(50:04)_[M+NH4]1+,TG,844.7389,0,0.602,0,0.096,0,1.092,0,0.131,0,0.297,0.199,0.876,6.322,0.625,0,5.446
TGXXX(50:05)_[M+Na]1+,TG,847.6786,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0
TGXXX(50:06)_[M+Na]1+,TG,845.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(50:07)_[M+NH4]1+,TG,838.6919,0,0,0,0,0,0.062,0,0,0.145,0,0,0,0,0,0,0
TGXXX(51:04)_[M+NH4]1+,TG,858.7545,0,0.396,0.252,1.76,0.33,0,0.62,0,0,0.108,0.561,0,0.245,0.173,0.319,0.033
TGXXX(51:05)_[M+NH4]1+,TG,856.7389,0,0,0,0,0.097,0.07,0,0,0,0,0,0,0.302,0,0,0.234
TGXXX(51:06)_[M+NH4]1+,TG,854.7232,0,0,0,0,0,0.042,0,0,0,0,0,0.078,0.63,0.134,0,0.704
TGXXX(51:07)_[M+NH4]1+,TG,852.7076,0,0,0,0,0,0,0.113,0,0,0,0,0,0.699,0,0,0.03
TGXXX(52:00)_[M+Na]1+,TG,885.7882,0,0,0,0.564,0.117,0,0.15,0.327,0,0,0,0,0.136,0.096,0,0
TGXXX(52:02)_[M+Na]1+,TG,881.7569,0,0.338,0.111,0.394,0,0.33,0,0,0,0.114,0,0.072,2.139,0.229,0,2.178
TGXXX(52:02)_[M+NH4]1+,TG,876.8015,10.791,36.274,34.47,22.294,30.99,45.115,3.482,43.981,20.096,35.653,10.016,36.525,43.859,43.915,27.651,84.717
TGXXX(52:03)_[M+Na]1+,TG,879.7412,0,0.221,0,0.203,0.191,0.046,0,0,0,0,0,0,4.889,0.178,0,2.242
TGXXX(52:03)_[M+NH4]1+,TG,874.7858,3.977,24.779,18.623,12.517,23.53,38.46,4.102,42.622,7.535,33.045,9.804,31.355,90.057,41.484,24.446,80.846
TGXXX(52:04)_[M+NH4]1+,TG,872.7702,0.125,7.847,0.956,0.442,3.879,11.794,0.451,14.89,0.502,9.916,0.205,7.372,61.401,10.343,1.715,25.217
TGXXX(52:05)_[M+Na]1+,TG,875.7099,0.133,0,0,0,0,0,0.113,0,0,0,0,0,0.093,0,0,0
